Running object 17999
('ROW:', 17999, 'Tau:', '2.930635198725901', 'V:', '-0.5747739228920569', 'dMu:', '-0.036314921025907596')
         12253849 function calls (12171010 primitive calls) in 95.101 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      326    0.019    0.000    0.019    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      232    0.019    0.000    0.054    0.000 linalg.py:1880(lstsq)
     5256    0.019    0.000    0.059    0.000 fromnumeric.py:2222(amax)
    10248    0.019    0.000    0.023    0.000 core.py:730(__hash__)
    10504    0.018    0.000    0.018    0.000 {numpy.core.multiarray.empty}
     4676    0.018    0.000    0.082    0.000 colors.py:128(to_rgba)
     5844    0.018    0.000    0.052    0.000 fromnumeric.py:1427(ravel)
     2433    0.018    0.000    0.045    0.000 colors.py:151(_to_rgba_no_colorcycle)
      201    0.018    0.000   87.448    0.435 ensemble.py:130(sample)
     9222    0.017    0.000    0.062    0.000 fromnumeric.py:65(take)
        3    0.017    0.006    0.017    0.006 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      232    0.016    0.000    0.088    0.000 polynomial.py:398(polyfit)
      337    0.016    0.000    0.029    0.000 function_base.py:25(linspace)
     9434    0.016    0.000    0.044    0.000 polynomial.py:1041(coeffs)
     6387    0.016    0.000    0.026    0.000 collections.py:71(__setitem__)
    15640    0.016    0.000    0.079    0.000 backend_pdf.py:394(write)
    53750    0.016    0.000    0.028    0.000 {method 'get' of 'dict' objects}
      138    0.016    0.000    0.016    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
     8293    0.015    0.000    0.121    0.000 transforms.py:1808(__init__)
18311/16705    0.015    0.000    0.017    0.000 records.py:438(__getattribute__)
     3309    0.015    0.000    0.264    0.000 backend_pdf.py:1542(check_gc)
     7547    0.015    0.000    0.015    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    23011    0.015    0.000    0.015    0.000 {built-in method __new__ of type object at 0x564c89fa19c0}
      769    0.014    0.000    0.049    0.000 lines.py:670(recache)
     8732    0.014    0.000    0.018    0.000 cbook.py:678(iterable)
     4698    0.014    0.000    0.015    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     7393    0.014    0.000    0.014    0.000 validate.py:637(_parse_with_caching)
  608/488    0.014    0.000    1.233    0.003 axis.py:67(__init__)
80229/75645    0.014    0.000    0.033    0.000 {hash}
    10461    0.013    0.000    0.019    0.000 _weakrefset.py:26(__exit__)
     2935    0.013    0.000    0.013    0.000 {numpy.core.multiarray.concatenate}
     9024    0.013    0.000    0.038    0.000 weakref.py:115(__setitem__)
     9024    0.013    0.000    0.013    0.000 weakref.py:315(__init__)
    12471    0.013    0.000    0.025    0.000 artist.py:326(pchanged)
    17632    0.013    0.000    0.013    0.000 configobj.py:552(__getitem__)
        8    0.013    0.002    0.013    0.002 {matplotlib._png.write_png}
     4699    0.013    0.000    0.048    0.000 transforms.py:163(set_children)
       22    0.012    0.001    0.370    0.017 backend_bases.py:276(draw_path_collection)
        4    0.012    0.003    0.060    0.015 collections.py:941(set_verts)
    29823    0.012    0.000    0.017    0.000 pyparsing.py:2182(__hash__)
