,band,fits,object,Tau,V
1,g,C1,160,0.5203852234800196,-0.7862782723001659
2,r,C1,160,0.4167875122963863,-0.7903943869995391
3,i,C1,160,0.18476470583540086,-0.7838337093324873
4,z,C1,160,0.00015684651122338522,-0.7215928617690872
0,All ,C1,172,0.0003470799846428418,-0.5086290068025364
1,r,C1,172,0.6201248272514402,-0.7078218314582052
2,i,C1,172,0.0006062661619926217,-0.660809581656662
3,z,C1,172,0.0756772958105604,-0.6143271320228695
0,All ,C1,175,0.0001384770167272148,-0.7702449364493867
1,r,C1,175,0.4036681453208726,-0.9374360911652996
2,i,C1,175,0.23920409021028724,-0.9096252964087528
3,z,C1,175,0.0028375462300040746,-0.8873469990202572
0,All ,C1,177,0.0004901569437165722,-0.8149273514058921
1,g,C1,177,0.4567379685999905,-0.9665028725776782
2,r,C1,177,0.5180340717722591,-0.9546996052958018
3,i,C1,177,0.3511122003601043,-0.8988470349059249
4,z,C1,177,0.42111655538819937,-0.8832878501635631
0,All ,C1,181,0.0011744844528921439,-1.0891888975886423
1,r,C1,181,0.6278966784791327,-1.2021495229289545
2,i,C1,181,0.29422564652452404,-1.1579127882118767
0,All ,C1,186,0.00010188565244971526,-0.6854894490561608
1,g,C1,186,0.8647513212120177,-0.7737354326520017
2,r,C1,186,0.649300579457643,-0.8058082870135291
3,i,C1,186,0.14408037456185455,-0.8248715829170388
4,z,C1,186,0.0009627139628973213,-0.7953251495394048
0,All ,C1,188,2.6827691596599534e-06,-0.18625677973145072
1,g,C1,188,0.5878681134088692,-0.7461537639730148
2,r,C1,188,0.304890899682127,-0.7447717299667747
3,i,C1,188,0.2675302559046161,-0.73512939325946
4,z,C1,188,2.1124230248453085e-05,-0.2817435853811531
0,All ,C1,192,0.4287258409299286,-0.6905288215592216
1,g,C1,192,1.1379978963785025,-0.715120090296375
2,r,C1,192,0.3788695754524581,-0.7972248101473551
3,i,C1,192,0.8056530941594863,-0.8308209248854339
0,All ,C1,195,0.24859023490928234,-0.7235216111352999
1,r,C1,195,0.7536543645631005,-0.8542364201123415
2,i,C1,195,0.44827556940773217,-0.8129038187141039
3,z,C1,195,0.18714172032220208,-0.7880724961199912
0,All ,C1,329,0.05943375059550893,-2.7049682060630045
1,g,C1,329,0.502002263045801,-1.7930347334576089
0,All ,C1,3347,2.5736974655496465,-0.8082787026212068
1,g,C1,3347,2.3189426335760888,-0.6796863503615062
2,r,C1,3347,2.5099565334959064,-0.8136175381700208
3,i,C1,3347,2.3932088482876135,-0.8282183612584773
0,All ,C1,9004,3.7418648138461466,-0.4337906912737128
1,g,C1,9004,3.7253757312069777,-0.3115260225017113
2,r,C1,9004,3.6738854860220624,-0.4725507642776429
3,i,C1,9004,3.5436672594513974,-0.6538838533356712
4,z,C1,9004,3.5590735133691984,-0.6430533541617645
0,All ,C1,17999,2.74870123888752,-0.6371021100507843
1,g,C1,17999,3.1738204266625627,-0.5010398319480668
2,r,C1,17999,3.4181023286041023,-0.5577526427873399
3,i,C1,17999,2.3855081031598733,-0.7556223599448807
4,z,C1,17999,2.1461824071107323,-0.7546186012781028
0,All ,C1,47662,3.1925262720618544,-0.6324954140410812
1,g,C1,47662,3.0105357356388884,-0.6144865072913541
2,r,C1,47662,2.906884441006009,-0.6968660244896114
3,i,C1,47662,3.2109829212153804,-0.7378514461937102
0,All ,C1,60141,3.202551187885364,-0.6147576878910926
1,g,C1,60141,3.0727410738203758,-0.5289259483103049
2,r,C1,60141,2.9646515418191317,-0.6712380914460128
3,i,C1,60141,3.5048474325752705,-0.6374244134337657
4,z,C1,60141,3.3894988141699343,-0.6599888978403969
0,All ,C1,63815,3.4920578428907656,-0.2972895066963651
1,g,C1,63815,3.263106142962677,-0.1628464186087017
2,r,C1,63815,3.4090657969207263,-0.2990405537161458
3,i,C1,63815,3.355057864878269,-0.44203890211852015
4,z,C1,63815,2.997424256799178,-0.55112849285151
0,All ,C1,64167,3.229729716425348,-0.4948240464607996
1,g,C1,64167,2.996692238324727,-0.5060742642558509
2,r,C1,64167,3.061337042830351,-0.5363230947703679
3,i,C1,64167,3.388894748807419,-0.5434006244913429
4,z,C1,64167,3.38220374822077,-0.58213031891188
0,All ,C1,72126,3.2151741325862053,-0.5473866043721715
1,g,C1,72126,2.6893186288224094,-0.6420403848296723
2,r,C1,72126,2.9464832276649657,-0.5627808198761914
3,i,C1,72126,3.213946529948963,-0.6509163383165492
4,z,C1,72126,3.0945686935859253,-0.7222914617247574
0,All ,C1,74440,3.6535257436769584,-0.30376040057401177
1,g,C1,74440,3.4281471551778604,-0.3111133692550457
2,r,C1,74440,3.4884938375804464,-0.3148980291326001
3,i,C1,74440,3.6685122532229952,-0.25257618036579826
0,All ,C1,75375,3.4351622852214163,-0.6215850275126636
1,g,C1,75375,3.305030141200473,-0.5094244483189796
2,r,C1,75375,3.3555362585088013,-0.6136477959865452
3,i,C1,75375,3.4147213390134636,-0.7168153358084558
4,z,C1,75375,3.3189250408802877,-0.7479789681244076
0,All ,C2,81,3.6461510494514306,-0.5704916796800715
1,r,C2,81,3.3021242862207254,-0.6707999633043007
2,i,C2,81,3.571689843466128,-0.6063465375386171
3,z,C2,81,3.6298075520287343,-0.5790734908722571
0,All ,C2,131,0.8113912230290877,-2.220645186270604
1,r,C2,131,0.8562262714663651,-1.9855912604181385
0,All ,C2,187,3.2694789889177462,-0.4108411300397175
1,g,C2,187,3.0017849349324712,-0.3440575507866099
2,r,C2,187,3.4616927616770905,-0.3988460607990866
3,i,C2,187,3.3702189642942084,-0.4422739925636762
0,All ,E1,19,1.7368157584758432,-0.8438879218197026
1,g,E1,19,1.6537742496690089,-0.6998054841801762
0,All ,E1,19,1.7401882103208983,-0.8417556764418934
1,g,E1,19,1.6531921871901814,-0.7002435962158379
0,All ,E1,19,1.7345658014388337,-0.8424706422372628
1,g,E1,19,1.6546654206361566,-0.6996762208594955
0,All ,E1,62,0.6526957384966454,-0.8966159396779699
1,i,E1,62,0.5216110229997735,-1.5312601574218012
2,z,E1,62,0.6143000739209682,-1.6962872878784019
0,All ,E1,62,0.6526117785071968,-0.8964951918431158
1,i,E1,62,0.5195391710026338,-1.5313129714483393
2,z,E1,62,0.6151015022022968,-1.6957347487199983
0,All ,E1,62,0.6526595122403719,-0.8968129198806358
1,i,E1,62,0.5188165087698363,-1.5313588517626076
2,z,E1,62,0.6167706305193992,-1.6969092838110709
0,All ,E1,67,3.9892465097257306,-2.108430029077008
1,g,E1,67,2.5634140038618485,-0.8094403889918041
0,All ,E1,67,3.993798420122276,-2.0500606101145538
1,g,E1,67,2.551137816025305,-0.8128446637346901
0,All ,E1,67,3.9946760749341546,-2.181536208485939
1,g,E1,67,2.540251742180713,-0.8073135283933037
0,All ,E1,120,0.0015269989202079115,-1.4471057460230596
1,i,E1,120,0.0001995285916477907,-1.627316206362909
2,z,E1,120,0.11478044918204575,-1.6680244017180352
0,All ,E1,120,0.0009186122666615688,-1.4495122899135042
1,i,E1,120,0.00020188283151595376,-1.6285152221953996
2,z,E1,120,0.11238055476518401,-1.6670968153353138
0,All ,E1,120,0.0032005837863119946,-1.4482575078604116
1,i,E1,120,0.0014284679446921952,-1.6293830702770309
2,z,E1,120,0.10920990947291406,-1.6672490462765677
0,All ,E1,184,3.989625986689565,-1.9945843672679984
1,g,E1,184,2.9106694321330067,-0.6048841872585524
0,All ,E1,184,3.9969321768010286,-1.9779090500688443
1,g,E1,184,2.9130123685795346,-0.6012573673128205
0,All ,E1,184,3.997318113164353,-1.9535284476240204
1,g,E1,184,2.9087946531777424,-0.6059547199028326
0,All ,E2,18,3.9982493018088285,-2.8825530482718182
1,g,E2,18,3.999937439312734,-2.439764360556352
0,All ,E2,20,2.801239775597565,-0.8355894820165101
1,g,E2,20,2.3464439093195466,-0.8366994053269037
2,r,E2,20,2.5641341605519434,-0.8576926419628759
3,i,E2,20,2.853570816235018,-0.8414980308761151
0,All ,E2,46,3.5112377945214583,-0.3998731455364673
1,g,E2,46,3.2262145013962304,-0.2935229852208365
2,r,E2,46,3.3862572471625088,-0.4042735490253461
3,i,E2,46,3.4583978583858146,-0.5387018789299197
4,z,E2,46,3.1809242132135944,-0.703231653631099
0,All ,E2,123,2.629338720882536,-1.0231972455646554
1,g,E2,123,2.7121457148301564,-0.7762537547509559
2,r,E2,123,2.4860700268365443,-0.9917394637282522
0,All ,E2,188,1.8232680442988607,-1.1010892380678223
1,g,E2,188,2.3227809520040683,-1.0150145861390252
2,r,E2,188,1.919294997978661,-1.12537611624873
3,i,E2,188,1.9084170754338212,-1.1716449460649043
4,z,E2,188,1.7967118907576705,-1.223110252411715
0,All ,S1,118,1.2104826299250353,-1.6933924314586546
1,r,S1,118,1.1506048089915375,-1.738761385930235
2,i,S1,118,1.2758278269281869,-1.9332529023224256
0,All ,S2,17,3.64080490241942,-0.8959226407143772
1,g,S2,17,3.191289051980568,-0.8704287258849159
2,r,S2,17,3.637806797424149,-0.9041447677451384
3,i,S2,17,3.888410963563008,-0.9211029835562952
4,z,S2,17,3.8987414738718478,-0.9762071882552824
0,All ,S2,91,0.9327421792728812,-1.9680804776196
1,z,S2,91,0.6989844788312012,-1.7531620241761736
0,All ,S2,175,4.1413849822622564e-06,-0.4594455528903018
1,g,S2,175,8.089797031432968e-05,-0.4718453427196022
2,r,S2,175,3.404539949669258e-05,-0.7265466542624518
3,i,S2,175,0.0011645451059819067,-1.1665005949345844
4,z,S2,175,0.0009899890388612026,-1.238672447985346
0,All ,S2,186,3.997300094729552,-2.9214959670762317
1,z,S2,186,0.0016601376196827414,0.0582718309711906
0,All ,S2,199,3.838639200680748,-0.43176013616627823
1,g,S2,199,3.4995425835675333,-0.4855193070591
2,r,S2,199,3.7194324120751694,-0.4417847805056977
3,i,S2,199,3.7947969332109626,-0.5008403391250943
4,z,S2,199,3.826828076619441,-0.5551776807207481
0,All ,X1,4,0.852877012206726,-2.3678415855208987
1,i,X1,4,0.004865750410448788,-1.7728008756443303
0,All ,X2,36,1.6496330554264873,-1.1384246432951313
1,g,X2,36,1.6069269561698656,-1.003987527036807
2,r,X2,36,1.7180558256152758,-1.118905787872869
3,i,X2,36,1.5516302130678588,-1.218016361575756
