('C1', 'G', 0.07314173840416702, 1.1346301863263084)
('C1', 'R', 0.06044958746823964, 1.0544982926111597)
('C1', 'I', 0.05469260829626189, 1.0222905738176453)
('C1', 'Z', 0.051466623480530896, 1.0240982799254266)
('C2', 'G', 0.07558433305466795, 1.1391678559581329)
('C2', 'R', 0.06232657642857171, 1.0602891156217489)
('C2', 'I', 0.05464123040154915, 1.0349058741963675)
('C2', 'Z', 0.046008408993247395, 1.056474063416973)
('C3', 'G', 0.07125791629235101, 1.0940956429559952)
('C3', 'R', 0.05, 1.08)
('C3', 'I', 0.05905211444261106, 1.0565463044675885)
('C3', 'Z', 0.04470930455361796, 1.0386853541371677)
('E1', 'G', 0.06870780736688271, 1.2525761034966363)
('E1', 'R', 0.06001472328086135, 1.0826808616742363)
('E1', 'I', 0.05278988646115859, 1.0265593358940865)
('E1', 'Z', 0.05195508212979374, 1.0242623567925515)
('E2', 'G', 0.06515940821035215, 1.1200348226548773)
('E2', 'R', 0.056314892916845806, 1.0491320662767132)
('E2', 'I', 0.05269726948551363, 1.027670082608051)
('E2', 'Z', 0.05, 1.08)
('S1', 'G', 0.06439779716763176, 1.099615048352124)
('S1', 'R', 0.05853699292766799, 1.0600371744430588)
('S1', 'I', 0.05505287378751849, 1.019469690582962)
('S1', 'Z', 0.0569841241622678, 1.012378892226495)
('S2', 'G', 0.06553170711369964, 1.1369417552872647)
('S2', 'R', 0.06033457443627591, 1.0483796301881787)
('S2', 'I', 0.05528624903870374, 1.024830450221914)
('S2', 'Z', 0.05606623599015885, 1.0306885646214239)
('X1', 'G', 0.07373359126400648, 1.0817162207709774)
('X1', 'R', 0.06338882634665376, 1.0405348665557987)
('X1', 'I', 0.058546113322426444, 1.0223651050968503)
('X1', 'Z', 0.059716371441331594, 1.0141924063651149)
('X2', 'G', 0.073196906996074, 1.1027856889710237)
('X2', 'R', 0.0606107289713352, 1.0410890155796513)
('X2', 'I', 0.05793484655100415, 1.0061401464011035)
('X2', 'Z', 0.06053025716910275, 1.002411522028693)
('X3', 'G', 0.07299729980198044, 1.0897341448375242)
('X3', 'R', 0.05, 1.08)
('X3', 'I', 0.060156316761127496, 1.0350499800817834)
('X3', 'Z', 0.05, 1.08)
