make pos
run sampler
run mcmc
sampler done
log_prob plot
max theta done
corner plot
         13333904 function calls (13227073 primitive calls) in 173.155 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7371    0.063    0.000    0.153    0.000 configuration.py:447(_validate_val)
     3627    0.062    0.000    0.097    0.000 twodim_base.py:154(eye)
     5241    0.062    0.000    0.062    0.000 {built-in method posix.stat}
     9450    0.062    0.000    0.139    0.000 weakref.py:165(__setitem__)
    14480    0.061    0.000    0.634    0.000 column.py:434(__set__)
12268/11457    0.061    0.000    0.088    0.000 {method 'format' of 'str' objects}
80357/74581    0.061    0.000    0.204    0.000 {built-in method builtins.hash}
    14681    0.061    0.000    0.086    0.000 cbook.py:687(is_string_like)
    15561    0.061    0.000    0.061    0.000 {method 'write' of '_io.BufferedWriter' objects}
    10268    0.060    0.000    0.147    0.000 configuration.py:481(get_config)
     2406    0.059    0.000    0.163    0.000 colors.py:151(_to_rgba_no_colorcycle)
     1340    0.058    0.000    0.058    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
39106/26074    0.054    0.000    0.671    0.000 {built-in method builtins.setattr}
  604/484    0.052    0.000    2.907    0.006 axis.py:67(__init__)
     7459    0.052    0.000    0.842    0.000 backend_pdf.py:588(output)
      232    0.051    0.000    0.096    0.000 linalg.py:2104(lstsq)
    27384    0.051    0.000    0.051    0.000 {built-in method __new__ of type object at 0x7fea44661ce0}
     2724    0.050    0.000    0.050    0.000 sre_parse.py:111(__init__)
    10545    0.050    0.000    0.071    0.000 _weakrefset.py:26(__exit__)
    25483    0.047    0.000    0.114    0.000 sre_parse.py:253(get)
      551    0.047    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     4739    0.047    0.000    0.160    0.000 core.py:2063(add_unit)
   177865    0.046    0.000    0.046    0.000 pyparsing.py:3432(<lambda>)
    10788    0.046    0.000    0.070    0.000 core.py:727(__hash__)
     8474    0.046    0.000    0.681    0.000 ClusterEmcee2_newprob_mu.py:194(<lambda>)
     3200    0.045    0.000    0.320    0.000 transforms.py:1972(scale)
     4034    0.045    0.000    0.740    0.000 markers.py:248(set_marker)
    11225    0.044    0.000    0.044    0.000 colors.py:203(<genexpr>)
      388    0.044    0.000    2.188    0.006 text.py:329(_get_layout)
     8706    0.044    0.000    0.044    0.000 {built-in method numpy.empty_like}
     9450    0.043    0.000    0.043    0.000 weakref.py:339(__init__)
        4    0.043    0.011    0.043    0.011 {built-in method statusBar}
     1987    0.042    0.000    0.758    0.000 font_manager.py:674(__init__)
    20059    0.042    0.000    0.043    0.000 {method 'encode' of 'str' objects}
