,filter,time,field,noise
0,g,56538.36328125,28331.0,0.0023
59,r,56538.3671875,28331.0,0.0021000000000000003
148,i,56538.36957289,28331.0,0.0022
237,z,56538.37229197,28331.0,0.0018000000000000002
238,z,56538.375,28331.0,0.0018000000000000002
1,g,56543.30859375,28331.0,0.0023
149,i,56543.3125,28331.0,0.0022
239,z,56543.31640625,28331.0,0.0018000000000000002
240,z,56543.3203125,28331.0,0.0018000000000000002
2,g,56547.26765106,28331.0,0.0023
60,r,56547.2700096,28331.0,0.0021000000000000003
150,i,56547.2721053,28331.0,0.0022
241,z,56547.27473746,28331.0,0.0018000000000000002
242,z,56547.27734375,28331.0,0.0018000000000000002
243,z,56551.25390625,28331.0,0.0018000000000000002
244,z,56552.27734375,28331.0,0.0018000000000000002
245,z,56559.19758997,28331.0,0.0018000000000000002
246,z,56559.20024766,28331.0,0.0018000000000000002
3,g,56563.19921875,28331.0,0.0023
61,r,56563.20254059,28331.0,0.0021000000000000003
151,i,56563.2046114,28331.0,0.0022
247,z,56563.20703125,28331.0,0.0018000000000000002
4,g,56567.21875,28331.0,0.0023
62,r,56567.2215084,28331.0,0.0021000000000000003
152,i,56567.22358823,28331.0,0.0022
248,z,56567.2265625,28331.0,0.0018000000000000002
249,z,56567.23046875,28331.0,0.0018000000000000002
5,g,56575.19140625,28331.0,0.0023
63,r,56575.1937485,28331.0,0.0021000000000000003
153,i,56575.19582406,28331.0,0.0022
251,z,56575.19850479,28331.0,0.0018000000000000002
250,z,56575.20115786,28331.0,0.0018000000000000002
64,r,56579.18319394,28331.0,0.0021000000000000003
154,i,56579.18527735,28331.0,0.0022
252,z,56579.19140625,28331.0,0.0018000000000000002
6,g,56594.1328125,28331.0,0.0023
65,r,56594.13490888,28331.0,0.0021000000000000003
155,i,56594.13698431,28331.0,0.0022
7,g,56602.1171875,28331.0,0.0023
66,r,56602.12090182,28331.0,0.0021000000000000003
156,i,56602.12299932,28331.0,0.0022
253,z,56602.125,28331.0,0.0018000000000000002
67,r,56607.05859375,28331.0,0.0021000000000000003
157,i,56614.078125,28331.0,0.0022
254,z,56614.08020107,28331.0,0.0018000000000000002
255,z,56614.08285571,28331.0,0.0018000000000000002
68,r,56615.09765625,28331.0,0.0021000000000000003
256,z,56615.10546875,28331.0,0.0018000000000000002
8,g,56625.18253352,28331.0,0.0023
69,r,56625.18488646,28331.0,0.0021000000000000003
158,i,56625.1875,28331.0,0.0022
258,z,56625.18963309,28331.0,0.0018000000000000002
257,z,56625.19229823,28331.0,0.0018000000000000002
9,g,56628.07421875,28331.0,0.0023
70,r,56628.078125,28331.0,0.0021000000000000003
159,i,56628.08032678,28331.0,0.0022
259,z,56628.08300811,28331.0,0.0018000000000000002
260,z,56628.0859375,28331.0,0.0018000000000000002
71,r,56635.12890625,28331.0,0.0021000000000000003
160,i,56635.1328125,28331.0,0.0022
261,z,56635.13671875,28331.0,0.0018000000000000002
72,r,56645.078125,28331.0,0.0021000000000000003
262,z,56645.0859375,28331.0,0.0018000000000000002
263,z,56649.17578125,28331.0,0.0018000000000000002
10,g,56660.08864801,28331.0,0.0023
73,r,56660.09100244,28331.0,0.0021000000000000003
161,i,56660.09306407,28331.0,0.0022
264,z,56660.09570217,28331.0,0.0018000000000000002
265,z,56660.09765625,28331.0,0.0018000000000000002
162,i,56675.10420704,28331.0,0.0022
266,z,56675.10687816,28331.0,0.0018000000000000002
11,g,56682.08042766,28331.0,0.0023
74,r,56682.08375046,28331.0,0.0021000000000000003
163,i,56682.0859375,28331.0,0.0022
267,z,56682.08984375,28331.0,0.0018000000000000002
12,g,56686.11953552,28331.0,0.0023
75,r,56686.12304446,28331.0,0.0021000000000000003
164,i,56686.125,28331.0,0.0022
268,z,56686.12890625,28331.0,0.0018000000000000002
76,r,56693.03515625,28331.0,0.0021000000000000003
269,z,56693.04296875,28331.0,0.0018000000000000002
13,g,56887.38894855,28331.0,0.0023
77,r,56887.39254001,28331.0,0.0021000000000000003
165,i,56887.39453125,28331.0,0.0022
270,z,56887.3984375,28331.0,0.0018000000000000002
14,g,56891.390625,28331.0,0.0023
78,r,56891.39439152,28331.0,0.0021000000000000003
166,i,56891.39647504,28331.0,0.0022
271,z,56891.3984375,28331.0,0.0018000000000000002
272,z,56891.40234375,28331.0,0.0018000000000000002
15,g,56904.29548327,28331.0,0.0023
79,r,56904.29784908,28331.0,0.0021000000000000003
167,i,56904.29990723,28331.0,0.0022
273,z,56904.30254318,28331.0,0.0018000000000000002
80,r,56912.34765625,28331.0,0.0021000000000000003
274,z,56912.35068576,28331.0,0.0018000000000000002
275,z,56912.35332735,28331.0,0.0018000000000000002
16,g,56920.3046875,28331.0,0.0023
81,r,56920.30714691,28331.0,0.0021000000000000003
168,i,56920.30920331,28331.0,0.0022
276,z,56920.3125,28331.0,0.0018000000000000002
277,z,56920.31640625,28331.0,0.0018000000000000002
82,r,56927.23733856,28331.0,0.0021000000000000003
169,i,56927.23941032,28331.0,0.0022
278,z,56927.2421875,28331.0,0.0018000000000000002
279,z,56927.24609375,28331.0,0.0018000000000000002
83,r,56943.23046875,28331.0,0.0021000000000000003
170,i,56943.234375,28331.0,0.0022
280,z,56943.23684736,28331.0,0.0018000000000000002
281,z,56943.23948906,28331.0,0.0018000000000000002
17,g,56949.32326633,28331.0,0.0023
84,r,56949.32561251,28331.0,0.0021000000000000003
171,i,56949.328125,28331.0,0.0022
283,z,56949.33029304,28331.0,0.0018000000000000002
282,z,56949.33292826,28331.0,0.0018000000000000002
85,r,56956.33984375,28331.0,0.0021000000000000003
284,z,56956.34375,28331.0,0.0018000000000000002
18,g,56960.26953125,28331.0,0.0023
86,r,56960.2734375,28331.0,0.0021000000000000003
172,i,56960.27552797,28331.0,0.0022
285,z,56960.27815966,28331.0,0.0018000000000000002
87,r,56973.31640625,28331.0,0.0021000000000000003
173,i,56973.31930442,28331.0,0.0022
286,z,56973.32194213,28331.0,0.0018000000000000002
287,z,56973.32421875,28331.0,0.0018000000000000002
19,g,56980.31640625,28331.0,0.0023
88,r,56980.31902906,28331.0,0.0021000000000000003
174,i,56980.32108083,28331.0,0.0022
288,z,56980.32421875,28331.0,0.0018000000000000002
289,z,56980.328125,28331.0,0.0018000000000000002
20,g,56988.0294158,28331.0,0.0023
89,r,56988.03176448,28331.0,0.0021000000000000003
175,i,56988.03382439,28331.0,0.0022
290,z,56988.03647109,28331.0,0.0018000000000000002
291,z,56988.0390625,28331.0,0.0018000000000000002
176,i,56992.140625,28331.0,0.0022
292,z,56992.14324618,28331.0,0.0018000000000000002
293,z,56992.14589577,28331.0,0.0018000000000000002
21,g,57008.109375,28331.0,0.0023
90,r,57008.11328125,28331.0,0.0021000000000000003
177,i,57008.11524608,28331.0,0.0022
294,z,57008.11790694,28331.0,0.0018000000000000002
295,z,57008.12109375,28331.0,0.0018000000000000002
22,g,57012.08203125,28331.0,0.0023
91,r,57012.08416427,28331.0,0.0021000000000000003
178,i,57012.0862193,28331.0,0.0022
296,z,57012.08885965,28331.0,0.0018000000000000002
297,z,57012.09148908,28331.0,0.0018000000000000002
179,i,57018.07421875,28331.0,0.0022
298,z,57018.08203125,28331.0,0.0018000000000000002
92,r,57019.07247011,28331.0,0.0021000000000000003
180,i,57019.07453806,28331.0,0.0022
300,z,57019.07718943,28331.0,0.0018000000000000002
299,z,57019.07982044,28331.0,0.0018000000000000002
301,z,57026.171875,28331.0,0.0018000000000000002
93,r,57033.16379708,28331.0,0.0021000000000000003
181,i,57033.16585759,28331.0,0.0022
302,z,57033.16796875,28331.0,0.0018000000000000002
23,g,57040.17464001,28331.0,0.0023
94,r,57040.17699988,28331.0,0.0021000000000000003
182,i,57040.1796875,28331.0,0.0022
303,z,57040.18170185,28331.0,0.0018000000000000002
304,z,57040.18435932,28331.0,0.0018000000000000002
24,g,57047.0859375,28331.0,0.0023
95,r,57047.08871149,28331.0,0.0021000000000000003
183,i,57047.09078452,28331.0,0.0022
305,z,57047.09375,28331.0,0.0018000000000000002
306,z,57047.09765625,28331.0,0.0018000000000000002
184,i,57054.03825163,28331.0,0.0022
307,z,57054.04090797,28331.0,0.0018000000000000002
308,z,57054.04296875,28331.0,0.0018000000000000002
309,z,57061.1484375,28331.0,0.0018000000000000002
310,z,57061.15234375,28331.0,0.0018000000000000002
