Running object 17999
('ROW:', 17999, 'Tau:', '2.9100005447392197', 'V:', '-0.5787053374100214', 'dMu:', '-0.055292264765846394')
         12188382 function calls (12106005 primitive calls) in 81.822 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3987    0.018    0.000    0.269    0.000 markers.py:248(set_marker)
     4624    0.018    0.000    0.078    0.000 colors.py:128(to_rgba)
     1760    0.018    0.000    0.217    0.000 font_manager.py:674(__init__)
      284    0.018    0.000    0.018    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      232    0.018    0.000    0.051    0.000 linalg.py:1880(lstsq)
     2442    0.018    0.000    0.043    0.000 colors.py:151(_to_rgba_no_colorcycle)
     5921    0.018    0.000    0.018    0.000 {posix.lstat}
38489/25457    0.017    0.000    0.209    0.000 {setattr}
        3    0.017    0.006    0.018    0.006 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     5843    0.017    0.000    0.049    0.000 fromnumeric.py:1427(ravel)
      201    0.017    0.000   71.599    0.356 ensemble.py:130(sample)
     6387    0.017    0.000    0.028    0.000 collections.py:71(__setitem__)
     9432    0.016    0.000    0.043    0.000 polynomial.py:1041(coeffs)
    15203    0.016    0.000    0.079    0.000 backend_pdf.py:394(write)
     9220    0.016    0.000    0.057    0.000 fromnumeric.py:65(take)
      232    0.016    0.000    0.085    0.000 polynomial.py:398(polyfit)
      337    0.016    0.000    0.028    0.000 function_base.py:25(linspace)
    10244    0.016    0.000    0.016    0.000 {numpy.core.multiarray.empty}
      132    0.016    0.000    0.016    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
     3294    0.015    0.000    0.252    0.000 backend_pdf.py:1542(check_gc)
     8128    0.015    0.000    0.112    0.000 transforms.py:1808(__init__)
    53594    0.015    0.000    0.027    0.000 {method 'get' of 'dict' objects}
     4683    0.014    0.000    0.014    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
79853/75398    0.013    0.000    0.031    0.000 {hash}
18311/16705    0.013    0.000    0.015    0.000 records.py:438(__getattribute__)
     7494    0.013    0.000    0.013    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        8    0.013    0.002    0.013    0.002 {matplotlib._png.write_png}
    29823    0.013    0.000    0.018    0.000 pyparsing.py:2182(__hash__)
        1    0.013    0.013    0.016    0.016 case.py:1(<module>)
     2935    0.013    0.000    0.013    0.000 {numpy.core.multiarray.concatenate}
     7393    0.012    0.000    0.012    0.000 validate.py:637(_parse_with_caching)
      743    0.012    0.000    0.043    0.000 lines.py:670(recache)
    10311    0.012    0.000    0.017    0.000 _weakrefset.py:26(__exit__)
     8537    0.012    0.000    0.016    0.000 cbook.py:678(iterable)
       22    0.012    0.001    0.379    0.017 backend_bases.py:276(draw_path_collection)
  595/475    0.012    0.000    1.054    0.002 axis.py:67(__init__)
     8907    0.012    0.000    0.090    0.000 weakref.py:115(__setitem__)
        5    0.012    0.002    0.012    0.002 {method 'get_content_extents' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
14167/14045    0.011    0.000    0.027    0.000 core.py:1939(__hash__)
    17632    0.011    0.000    0.011    0.000 configobj.py:552(__getitem__)
      464    0.011    0.000    0.011    0.000 {numpy.linalg.lapack_lite.dgelsd}
    12185    0.011    0.000    0.021    0.000 artist.py:326(pchanged)
     8907    0.011    0.000    0.011    0.000 weakref.py:315(__init__)
    21878    0.011    0.000    0.011    0.000 _weakrefset.py:70(__contains__)
        4    0.011    0.003    0.053    0.013 collections.py:941(set_verts)
     6065    0.011    0.000    0.190    0.000 re.py:230(_compile)
4482/1408    0.011    0.000    0.013    0.000 sre_parse.py:152(getwidth)
     4621    0.011    0.000    0.041    0.000 transforms.py:163(set_children)
    63025    0.011    0.000    0.011    0.000 artist.py:734(get_animated)
3191/1811    0.010    0.000    0.046    0.000 core.py:1750(__call__)
    22640    0.010    0.000    0.021    0.000 core.py:6198(isMaskedArray)
        5    0.010    0.002    0.011    0.002 backend_agg.py:85(__init__)
    29703    0.010    0.000    0.035    0.000 sre_parse.py:213(get)
     3045    0.010    0.000    0.081    0.000 transforms.py:1972(scale)
     3349    0.010    0.000    0.010    0.000 {matplotlib._path.affine_transform}
     2920    0.010    0.000    0.100    0.000 card.py:155(__init__)
    12075    0.010    0.000    0.010    0.000 {method 'split' of 'str' objects}
    15369    0.010    0.000    0.088    0.000 backend_pdf.py:582(write)
6719/6715    0.010    0.000    0.011    0.000 pyparsing.py:349(__init__)
     3386    0.010    0.000    0.038    0.000 artist.py:851(update)
 7389/127    0.010    0.000    0.577    0.005 decorators.py:732(__get__)
     1047    0.010    0.000    0.019    0.000 sre_compile.py:256(_optimize_charset)
  903/901    0.010    0.000    0.046    0.000 posixpath.py:380(_joinrealpath)
     4603    0.010    0.000    0.048    0.000 fromnumeric.py:851(argsort)
    13538    0.010    0.000    0.090    0.000 {method 'all' of 'numpy.ndarray' objects}
     1299    0.009    0.000    0.010    0.000 font_manager.py:848(set_weight)
    10311    0.009    0.000    0.012    0.000 _weakrefset.py:20(__enter__)
       62    0.009    0.000    0.081    0.001 core.py:2168(_add_prefixes)
     1448    0.009    0.000    0.040    0.000 card.py:295(value)
        2    0.009    0.005    0.245    0.122 column.py:1252(_init_from_table)
     5888    0.009    0.000    0.051    0.000 pyparsing.py:1465(set)
     5860    0.009    0.000    0.053    0.000 fromnumeric.py:1934(any)
     3512    0.009    0.000    0.022    0.000 type_check.py:185(iscomplex)
       19    0.009    0.000    0.022    0.001 collections.py:305(namedtuple)
     2311    0.009    0.000    0.097    0.000 core.py:543(_get_physical_type_id)
     3244    0.009    0.000    0.031    0.000 font_manager.py:970(_normalize_font_family)
     1299    0.008    0.000    0.104    0.000 text.py:189(__init__)
     7391    0.008    0.000    0.017    0.000 validate.py:651(_check_value)
     1510    0.008    0.000    0.008    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     4419    0.008    0.000    0.038    0.000 core.py:2051(add_unit)
     2323    0.008    0.000    0.011    0.000 backend_pdf.py:2234(fillcolor_cmd)
     1445    0.008    0.000    0.008    0.000 {posix.stat}
    15763    0.008    0.000    0.008    0.000 {method 'write' of 'file' objects}
     1745    0.008    0.000    0.013    0.000 posixpath.py:329(normpath)
    13311    0.008    0.000    0.008    0.000 {locals}
     4372    0.008    0.000    0.008    0.000 {method 'astype' of 'numpy.ndarray' objects}
    23118    0.008    0.000    0.037    0.000 {method 'add' of 'set' objects}
  344/337    0.008    0.000    0.070    0.000 {__import__}
      651    0.008    0.000    0.014    0.000 path.py:376(iter_segments)
    17347    0.008    0.000    0.012    0.000 sre_parse.py:142(__getitem__)
     1869    0.008    0.000    0.297    0.000 backend_pdf.py:1631(draw_path)
    13538    0.008    0.000    0.080    0.000 _methods.py:40(_all)
     6204    0.008    0.000    0.130    0.000 transforms.py:128(invalidate)
     1448    0.008    0.000    0.010    0.000 column.py:1066(_convert_to_valid_data_type)
