,filter,time,field,noise
0,g,56543.30859375,18.0,0.0023
75,r,56543.312265,18.0,0.0021000000000000003
142,i,56543.31432044,18.0,0.0022
212,z,56543.31640625,18.0,0.0018000000000000002
213,z,56543.3203125,18.0,0.0018000000000000002
1,g,56547.26765106,18.0,0.0023
76,r,56547.2700096,18.0,0.0021000000000000003
143,i,56547.2721053,18.0,0.0022
214,z,56547.27473746,18.0,0.0018000000000000002
215,z,56547.27734375,18.0,0.0018000000000000002
216,z,56551.25390625,18.0,0.0018000000000000002
2,g,56552.26953125,18.0,0.0023
77,r,56552.2734375,18.0,0.0021000000000000003
144,i,56552.27564044,18.0,0.0022
217,z,56552.27830102,18.0,0.0018000000000000002
218,z,56552.28125,18.0,0.0018000000000000002
3,g,56559.19049088,18.0,0.0023
78,r,56559.19286457,18.0,0.0021000000000000003
145,i,56559.1953125,18.0,0.0022
219,z,56559.19921875,18.0,0.0018000000000000002
4,g,56563.19921875,18.0,0.0023
79,r,56563.20254059,18.0,0.0021000000000000003
146,i,56563.2046114,18.0,0.0022
220,z,56563.20703125,18.0,0.0018000000000000002
221,z,56563.2109375,18.0,0.0018000000000000002
5,g,56575.19140625,18.0,0.0023
80,r,56575.1937485,18.0,0.0021000000000000003
147,i,56575.19582406,18.0,0.0022
222,z,56575.19850479,18.0,0.0018000000000000002
223,z,56575.20115786,18.0,0.0018000000000000002
6,g,56579.1796875,18.0,0.0023
81,r,56579.18319394,18.0,0.0021000000000000003
148,i,56579.18527735,18.0,0.0022
224,z,56579.1875,18.0,0.0018000000000000002
225,z,56579.19140625,18.0,0.0018000000000000002
7,g,56590.33984375,18.0,0.0023
149,i,56590.34375,18.0,0.0022
226,z,56590.3515625,18.0,0.0018000000000000002
8,g,56594.1328125,18.0,0.0023
82,r,56594.13490888,18.0,0.0021000000000000003
150,i,56594.13698431,18.0,0.0022
228,z,56594.13963008,18.0,0.0018000000000000002
227,z,56594.14228554,18.0,0.0018000000000000002
9,g,56602.1171875,18.0,0.0023
83,r,56602.12109375,18.0,0.0021000000000000003
229,z,56602.125,18.0,0.0018000000000000002
230,z,56602.12890625,18.0,0.0018000000000000002
10,g,56607.0546875,18.0,0.0023
84,r,56607.05859375,18.0,0.0021000000000000003
231,z,56607.0625,18.0,0.0018000000000000002
232,z,56607.06640625,18.0,0.0018000000000000002
11,g,56614.07312372,18.0,0.0023
85,r,56614.07547546,18.0,0.0021000000000000003
151,i,56614.078125,18.0,0.0022
234,z,56614.08020107,18.0,0.0018000000000000002
233,z,56614.08285571,18.0,0.0018000000000000002
12,g,56615.09609035,18.0,0.0023
86,r,56615.09846663,18.0,0.0021000000000000003
152,i,56615.1015625,18.0,0.0022
235,z,56615.10546875,18.0,0.0018000000000000002
13,g,56625.18253352,18.0,0.0023
87,r,56625.18488646,18.0,0.0021000000000000003
153,i,56625.1875,18.0,0.0022
236,z,56625.18963309,18.0,0.0018000000000000002
237,z,56625.19229823,18.0,0.0018000000000000002
14,g,56628.07421875,18.0,0.0023
88,r,56628.078125,18.0,0.0021000000000000003
154,i,56628.08032678,18.0,0.0022
238,z,56628.08300811,18.0,0.0018000000000000002
239,z,56628.0859375,18.0,0.0018000000000000002
15,g,56635.12748407,18.0,0.0023
89,r,56635.1298442,18.0,0.0021000000000000003
155,i,56635.13190835,18.0,0.0022
240,z,56635.13456351,18.0,0.0018000000000000002
241,z,56635.13671875,18.0,0.0018000000000000002
16,g,56645.07660965,18.0,0.0023
90,r,56645.08004464,18.0,0.0021000000000000003
156,i,56645.08203125,18.0,0.0022
242,z,56645.0859375,18.0,0.0018000000000000002
17,g,56649.1640625,18.0,0.0023
157,i,56649.171875,18.0,0.0022
243,z,56649.17578125,18.0,0.0018000000000000002
18,g,56653.0859375,18.0,0.0023
158,i,56653.08984375,18.0,0.0022
244,z,56653.09288804,18.0,0.0018000000000000002
245,z,56653.09552375,18.0,0.0018000000000000002
19,g,56660.08984375,18.0,0.0023
159,i,56660.09375,18.0,0.0022
246,z,56660.09765625,18.0,0.0018000000000000002
20,g,56667.1171875,18.0,0.0023
160,i,56667.12109375,18.0,0.0022
248,z,56667.12311242,18.0,0.0018000000000000002
247,z,56667.12575493,18.0,0.0018000000000000002
21,g,56675.1015625,18.0,0.0023
161,i,56675.10420704,18.0,0.0022
249,z,56675.10687816,18.0,0.0018000000000000002
250,z,56675.109375,18.0,0.0018000000000000002
22,g,56682.08203125,18.0,0.0023
251,z,56682.08984375,18.0,0.0018000000000000002
162,i,56686.125,18.0,0.0022
252,z,56686.12890625,18.0,0.0018000000000000002
23,g,56693.03515625,18.0,0.0023
253,z,56693.04296875,18.0,0.0018000000000000002
91,r,56887.390625,18.0,0.0021000000000000003
163,i,56887.39453125,18.0,0.0022
255,z,56887.39725799,18.0,0.0018000000000000002
254,z,56887.39988845,18.0,0.0018000000000000002
