Running object 3347
ROW: 3347 Tau: 2.277185400623659 V: -0.6861684569433611 dMu: 0.004063536676571083
         13288560 function calls (13181823 primitive calls) in 200.525 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1340    0.072    0.000    0.072    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
     3904    0.072    0.000    0.115    0.000 artist.py:95(__init__)
15526/15404    0.069    0.000    0.190    0.000 core.py:1965(__hash__)
25994/25285    0.067    0.000    0.094    0.000 {method 'join' of 'str' objects}
    15259    0.066    0.000    0.259    0.000 backend_pdf.py:582(write)
   138212    0.066    0.000    0.066    0.000 {method 'append' of 'list' objects}
     7492    0.066    0.000    1.037    0.000 backend_pdf.py:588(output)
     5274    0.065    0.000    0.306    0.000 colors.py:128(to_rgba)
    17596    0.063    0.000    0.063    0.000 configobj.py:554(__getitem__)
       69    0.062    0.001    0.445    0.006 core.py:2180(_add_prefixes)
     3716    0.062    0.000    0.101    0.000 font_manager.py:720(__hash__)
    25483    0.059    0.000    0.141    0.000 sre_parse.py:253(get)
      648    0.059    0.000    0.079    0.000 path.py:376(iter_segments)
        1    0.057    0.057    0.064    0.064 _bsplines.py:1(<module>)
      288    0.055    0.000    0.964    0.003 lines.py:769(draw)
    50234    0.055    0.000    0.325    0.000 numeric.py:469(asarray)
12268/11457    0.055    0.000    0.091    0.000 {method 'format' of 'str' objects}
     5843    0.054    0.000    0.135    0.000 enum.py:801(__and__)
    27348    0.051    0.000    0.051    0.000 {built-in method __new__ of type object at 0x7f5536711ce0}
     3932    0.051    0.000    0.101    0.000 type_check.py:213(iscomplex)
     9432    0.050    0.000    0.129    0.000 weakref.py:165(__setitem__)
     4659    0.050    0.000    0.051    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      595    0.048    0.000    0.087    0.000 inspect.py:2065(_signature_from_function)
    12700    0.048    0.000    0.056    0.000 enum.py:515(__new__)
    20019    0.048    0.000    0.441    0.000 transforms.py:1662(__init__)
        4    0.048    0.012    0.048    0.012 {built-in method statusBar}
     9327    0.048    0.000    0.364    0.000 transforms.py:1808(__init__)
    15421    0.047    0.000    0.052    0.000 core.py:2033(__hash__)
      232    0.047    0.000    0.079    0.000 linalg.py:2104(lstsq)
     3603    0.046    0.000    0.077    0.000 twodim_base.py:154(eye)
    22119    0.045    0.000    0.045    0.000 {method 'rstrip' of 'str' objects}
      454    0.045    0.000    2.501    0.006 text.py:739(draw)
    22987    0.045    0.000    0.045    0.000 _weakrefset.py:70(__contains__)
    43742    0.044    0.000    0.044    0.000 core.py:1585(name)
     8720    0.044    0.000    0.044    0.000 {built-in method numpy.empty_like}
     2451    0.044    0.000    0.468    0.000 core.py:540(_get_physical_type_id)
     1975    0.044    0.000    0.847    0.000 font_manager.py:674(__init__)
     7371    0.043    0.000    0.043    0.000 validate.py:638(_parse_with_caching)
     9432    0.043    0.000    0.043    0.000 weakref.py:339(__init__)
      719    0.043    0.000    0.072    0.000 sre_compile.py:250(_optimize_charset)
    20356    0.043    0.000    0.043    0.000 {method 'split' of 'str' objects}
    11275    0.043    0.000    0.043    0.000 colors.py:203(<genexpr>)
     8530    0.043    0.000    0.043    0.000 {method 'take' of 'numpy.ndarray' objects}
    24028    0.043    0.000    0.079    0.000 pyparsing.py:1618(__hash__)
   177855    0.042    0.000    0.042    0.000 pyparsing.py:3432(<lambda>)
    45373    0.041    0.000    0.130    0.000 {method 'get' of 'dict' objects}
      392    0.041    0.000    2.324    0.006 text.py:329(_get_layout)
     4739    0.041    0.000    0.203    0.000 core.py:2063(add_unit)
    17006    0.041    0.000    0.041    0.000 {method 'group' of '_sre.SRE_Match' objects}
    14505    0.041    0.000    0.056    0.000 sre_parse.py:163(__getitem__)
    26453    0.040    0.000    0.230    0.000 {method 'add' of 'set' objects}
     1448    0.040    0.000    0.290    0.000 card.py:931(_format_image)
     2920    0.040    0.000    0.400    0.000 card.py:153(__init__)
    12732    0.040    0.000    0.088    0.000 pyparsing.py:272(__new__)
     1448    0.039    0.000    0.125    0.000 card.py:291(value)
3469/1949    0.039    0.000    0.185    0.000 core.py:1776(__call__)
    15092    0.038    0.000    0.194    0.000 backend_pdf.py:394(write)
     2968    0.038    0.000    0.038    0.000 {built-in method numpy.concatenate}
    18012    0.038    0.000    0.064    0.000 six.py:580(iteritems)
      551    0.038    0.000    0.510    0.001 <frozen importlib._bootstrap_external>:743(get_code)
     3704    0.038    0.000    0.057    0.000 posixpath.py:73(join)
 3500/466    0.038    0.000    1.107    0.002 pyparsing.py:2524(parseImpl)
    12253    0.038    0.000    0.069    0.000 artist.py:326(pchanged)
     1472    0.037    0.000    0.279    0.000 card.py:712(_parse_value)
     8798    0.037    0.000    0.037    0.000 {built-in method numpy.copyto}
     7369    0.036    0.000    0.070    0.000 validate.py:652(_check_value)
     4003    0.036    0.000    0.036    0.000 {built-in method matplotlib._path.affine_transform}
     5242    0.036    0.000    0.132    0.000 pyparsing.py:558(copy)
      400    0.036    0.000  176.144    0.440 ensemble.py:292(_propose_stretch)
     3176    0.035    0.000    0.217    0.000 transforms.py:1972(scale)
        1    0.035    0.035    0.035    0.035 ClusterEmcee2_newprob_mu.py:318(<listcomp>)
    21952    0.035    0.000    0.058    0.000 card.py:211(keyword)
     3158    0.035    0.000    0.081    0.000 {method 'sort' of 'list' objects}
    12714    0.035    0.000    0.119    0.000 enum.py:265(__call__)
       44    0.035    0.001    0.035    0.001 header.py:553(_find_end_card)
       22    0.035    0.002    0.938    0.043 backend_bases.py:276(draw_path_collection)
      777    0.035    0.000    0.048    0.000 path.py:172(_fast_from_codes_and_verts)
 7389/127    0.035    0.000    2.626    0.021 decorators.py:732(__get__)
        9    0.034    0.004    0.703    0.078 core.py:177(add_enabled_units)
        8    0.034    0.004    0.034    0.004 {built-in method matplotlib._png.write_png}
     7371    0.033    0.000    0.175    0.000 configuration.py:447(_validate_val)
    38757    0.033    0.000    0.033    0.000 {built-in method builtins.iter}
     8488    0.032    0.000    0.501    0.000 ClusterEmcee2_newprob_mu.py:194(<lambda>)
     2752    0.032    0.000    0.032    0.000 {built-in method posix.lstat}
     1448    0.032    0.000    0.038    0.000 column.py:1065(_convert_to_valid_data_type)
     2920    0.032    0.000    0.376    0.000 card.py:576(_check_if_rvkc)
     5977    0.031    0.000    0.944    0.000 re.py:286(_compile)
        2    0.031    0.015    1.187    0.594 column.py:1251(_init_from_table)
      743    0.029    0.000    0.718    0.001 <frozen importlib._bootstrap>:861(_find_spec)
     4007    0.029    0.000    0.587    0.000 markers.py:248(set_marker)
    19872    0.029    0.000    0.031    0.000 {method 'encode' of 'str' objects}
     2960    0.029    0.000    0.551    0.000 card.py:271(value)
3903/1420    0.029    0.000    0.041    0.000 sre_parse.py:173(getwidth)
     2752    0.029    0.000    0.062    0.000 posixpath.py:166(islink)
     6435    0.029    0.000    0.364    0.000 transforms.py:128(invalidate)
     4247    0.029    0.000    0.029    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      944    0.028    0.000    0.028    0.000 {method 'clear' of 'dict' objects}
        1    0.028    0.028    0.028    0.028 ClusterEmcee2_newprob_mu.py:317(<listcomp>)
     7371    0.028    0.000    0.142    0.000 validate.py:594(check)
     2172    0.028    0.000    0.184    0.000 column.py:701(array)
    10590    0.028    0.000    0.033    0.000 six.py:577(itervalues)
     6654    0.028    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      660    0.027    0.000    0.087    0.000 version.py:198(__init__)
     1826    0.027    0.000    0.060    0.000 lines.py:1086(set_linestyle)
     5487    0.027    0.000    0.056    0.000 fromnumeric.py:1583(ravel)
     1059    0.027    0.000    0.027    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     1852    0.027    0.000    0.672    0.000 backend_pdf.py:1631(draw_path)
      201    0.027    0.000  178.214    0.887 ensemble.py:130(sample)
      657    0.027    0.000    0.100    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      232    0.027    0.000    0.034    0.000 linalg.py:1953(slogdet)
    10541    0.026    0.000    0.052    0.000 _weakrefset.py:26(__exit__)
     5976    0.026    0.000    0.085    0.000 utils.py:155(validate_power)
    10386    0.026    0.000    0.026    0.000 {built-in method numpy.empty}
      130    0.026    0.000    0.425    0.003 backend_pdf.py:1709(draw_markers)
        2    0.025    0.013    0.876    0.438 column.py:1218(_init_from_array)
      866    0.025    0.000    0.119    0.000 lines.py:670(recache)
     2254    0.025    0.000    0.033    0.000 backend_pdf.py:2234(fillcolor_cmd)
     3276    0.025    0.000    0.719    0.000 backend_pdf.py:1542(check_gc)
       23    0.025    0.001    1.956    0.085 backend_pdf.py:1639(draw_path_collection)
8838/5876    0.025    0.000    3.210    0.001 <frozen importlib._bootstrap>:989(_handle_fromlist)
    10541    0.025    0.000    0.029    0.000 _weakrefset.py:20(__enter__)
     2970    0.025    0.000    0.202    0.000 backend_bases.py:1012(set_foreground)
   1354/4    0.024    0.000    7.567    1.892 artist.py:61(draw_wrapper)
     1448    0.024    0.000    0.714    0.000 column.py:741(name)
   686/16    0.024    0.000    6.528    0.408 <frozen importlib._bootstrap>:641(_load_unlocked)
     1448    0.024    0.000    0.041    0.000 column.py:203(__new__)
        2    0.024    0.012    0.025    0.013 backend_qt5.py:121(_create_qApp)
      274    0.024    0.000    0.069    0.000 backend_agg.py:269(_get_agg_font)
      361    0.024    0.000    0.024    0.000 {built-in method io.open}
     4647    0.024    0.000    0.024    0.000 {method 'setdefault' of 'dict' objects}
   778/12    0.024    0.000    6.541    0.545 <frozen importlib._bootstrap>:958(_find_and_load)
     1102    0.024    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        2    0.024    0.012    0.064    0.032 backend_pdf.py:1204(writeGouraudTriangles)
  809/211    0.024    0.000    0.467    0.002 sre_parse.py:407(_parse_sub)
     1118    0.023    0.000    0.023    0.000 {method 'round' of 'numpy.ndarray' objects}
     1309    0.023    0.000    0.117    0.000 text.py:189(__init__)
    34644    0.023    0.000    0.023    0.000 {method 'items' of 'dict' objects}
        4    0.023    0.006    0.094    0.024 fitsrec.py:608(_coldefs)
    12835    0.023    0.000    0.023    0.000 fromnumeric.py:70(<dictcomp>)
    65906    0.023    0.000    0.023    0.000 artist.py:734(get_animated)
    13246    0.023    0.000    0.165    0.000 {method 'all' of 'numpy.ndarray' objects}
        4    0.023    0.006    0.126    0.032 header.py:325(fromstring)
       17    0.022    0.001    0.032    0.002 enum.py:124(__new__)
  601/481    0.022    0.000    2.224    0.005 axis.py:67(__init__)
     4954    0.022    0.000    0.120    0.000 transforms.py:163(set_children)
    14356    0.022    0.000    0.170    0.000 fromnumeric.py:54(_wrapfunc)
      551    0.022    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      347    0.021    0.000    0.126    0.000 posixpath.py:391(_joinrealpath)
     4360    0.021    0.000    0.021    0.000 {method 'astype' of 'numpy.ndarray' objects}
     3603    0.021    0.000    0.120    0.000 numeric.py:2318(identity)
     6201    0.021    0.000    0.151    0.000 fromnumeric.py:2083(any)
     1783    0.021    0.000    0.023    0.000 inspect.py:2399(__init__)
    23464    0.021    0.000    0.040    0.000 core.py:6199(isMaskedArray)
     2498    0.021    0.000    0.021    0.000 {built-in method _thread.get_ident}
     7338    0.020    0.000    0.631    0.000 configuration.py:275(__get__)
      658    0.020    0.000    0.021    0.000 version.py:343(_cmpkey)
       80    0.020    0.000    0.077    0.001 traceback.py:313(extract)
     1448    0.020    0.000    0.047    0.000 card.py:925(_format_comment)
     1472    0.020    0.000    0.074    0.000 header.py:1125(append)
     2494    0.020    0.000    0.173    0.000 transforms.py:1957(translate)
  287/257    0.020    0.000    0.349    0.001 axis.py:425(_get_tick2line)
       87    0.020    0.000    0.020    0.000 {built-in method posix.listdir}
    20443    0.020    0.000    0.020    0.000 {method 'lower' of 'str' objects}
     1367    0.020    0.000    0.121    0.000 __init__.py:2530(_get_metadata)
     3416    0.020    0.000    0.088    0.000 artist.py:851(update)
     1520    0.019    0.000    0.060    0.000 core.py:1508(__init__)
     8720    0.019    0.000    0.138    0.000 numeric.py:112(zeros_like)
    18026    0.019    0.000    0.019    0.000 {method 'strip' of 'str' objects}
     5226    0.019    0.000    0.020    0.000 {built-in method builtins.max}
   778/12    0.019    0.000    6.541    0.545 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
2971/2939    0.019    0.000    0.765    0.000 core.py:2000(__init__)
    35105    0.019    0.000    0.019    0.000 {built-in method builtins.id}
      738    0.019    0.000    0.676    0.001 <frozen importlib._bootstrap_external>:1117(_get_spec)
     2172    0.019    0.000    0.092    0.000 column.py:822(_verify_keywords)
1034/1008    0.019    0.000    0.651    0.001 pyparsing.py:3004(parseImpl)
4134/2931    0.019    0.000    0.423    0.000 core.py:2122(decompose)
     8488    0.019    0.000    0.520    0.000 optimize.py:290(function_wrapper)
     1113    0.019    0.000    0.855    0.001 font_manager.py:1228(findfont)
    20282    0.019    0.000    0.019    0.000 {method 'rstrip' of 'bytes' objects}
    13384    0.019    0.000    0.143    0.000 _methods.py:45(_all)
     1451    0.018    0.000    0.082    0.000 transforms.py:781(__init__)
      724    0.018    0.000    0.032    0.000 column.py:2139(_convert_record2fits)
    15627    0.018    0.000    0.018    0.000 {method 'write' of '_io.BufferedWriter' objects}
      744    0.018    0.000    0.038    0.000 records.py:556(field)
    10891    0.018    0.000    0.018    0.000 {method 'update' of 'dict' objects}
    14480    0.018    0.000    0.018    0.000 util.py:121(_notify)
     4337    0.018    0.000    0.122    0.000 utils.py:137(sanitize_scale)
  476/466    0.018    0.000    1.160    0.002 pyparsing.py:1175(parseString)
     3652    0.018    0.000    0.028    0.000 lines.py:1054(_split_drawstyle_linestyle)
       80    0.018    0.000    0.040    0.001 backend_pdf.py:367(_writeHeader)
     7357    0.018    0.000    0.034    0.000 validate.py:898(is_boolean)
     1765    0.017    0.000    0.024    0.000 backend_pdf.py:251(__init__)
        1    0.017    0.017    0.018    0.018 fromnumeric.py:3(<module>)
     8591    0.017    0.000    0.029    0.000 cbook.py:678(iterable)
        4    0.017    0.004    0.084    0.021 collections.py:941(set_verts)
     4443    0.017    0.000    0.096    0.000 {built-in method builtins.any}
     2944    0.017    0.000    0.024    0.000 card.py:626(_check_if_rvkc_image)
     2896    0.017    0.000    0.032    0.000 column.py:1960(_parse_tformat)
 1493/890    0.017    0.000    0.088    0.000 transforms.py:2392(get_affine)
      336    0.017    0.000    0.043    0.000 function_base.py:37(linspace)
       19    0.017    0.001    0.018    0.001 {method 'readlines' of '_io._IOBase' objects}
     4528    0.017    0.000    0.044    0.000 core.py:2110(<lambda>)
     6654    0.017    0.000    0.111    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     8720    0.017    0.000    0.489    0.000 polynomial.py:1247(__call__)
      354    0.017    0.000    0.176    0.000 lines.py:1310(update_from)
       78    0.017    0.000    0.021    0.000 mathtext.py:1503(render)
     1472    0.017    0.000    0.030    0.000 card.py:803(_split)
      779    0.017    0.000    0.113    0.000 transforms.py:1315(transform)
     1197    0.016    0.000    0.036    0.000 __init__.py:2193(yield_lines)
     1227    0.016    0.000    0.032    0.000 <frozen importlib._bootstrap>:77(acquire)
      232    0.016    0.000    0.112    0.000 polynomial.py:431(polyfit)
     1448    0.016    0.000    0.024    0.000 card.py:424(comment)
      317    0.016    0.000    0.016    0.000 overrides.py:111(array_function_dispatch)
     8508    0.016    0.000    0.075    0.000 fromnumeric.py:93(take)
     1227    0.016    0.000    0.027    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
  976/918    0.016    0.000    0.689    0.001 pyparsing.py:2968(parseImpl)
      480    0.015    0.000    0.024    0.000 cbook.py:1406(popall)
      346    0.015    0.000    0.280    0.001 __init__.py:2385(from_location)
      754    0.015    0.000    0.029    0.000 posixpath.py:329(normpath)
